CONF FIE WVL CX_IDA CY_IDA CX_DET CY_DET MAG_Y RMS_X RMS_Y
1 1 4170.000 -0.000 0.039 -12.002 -10.084 0.03330 2.27 4.80
1 2 4170.000 16.616 0.036 -11.425 -10.095 0.03330 2.88 5.42
1 3 4170.000 -16.644 0.127 -12.575 -10.080 0.03325 2.98 3.68
1 1 4180.000 -0.000 0.039 -12.002 -9.845 0.03330 2.28 4.77
1 2 4180.000 16.616 0.036 -11.425 -9.855 0.03330 2.88 5.38
1 3 4180.000 -16.644 0.127 -12.575 -9.841 0.03325 3.02 3.66
1 1 4190.000 -0.000 0.039 -12.002 -9.606 0.03330 2.30 4.74
1 2 4190.000 16.616 0.036 -11.425 -9.616 0.03330 2.88 5.35
1 3 4190.000 -16.644 0.127 -12.575 -9.602 0.03325 3.06 3.65
1 1 4200.000 -0.000 0.039 -12.002 -9.367 0.03331 2.32 4.71
1 2 4200.000 16.616 0.036 -11.425 -9.377 0.03330 2.88 5.31
1 3 4200.000 -16.644 0.127 -12.575 -9.363 0.03326 3.10 3.64
1 1 4210.000 -0.000 0.039 -12.002 -9.128 0.03331 2.34 4.68
1 2 4210.000 16.616 0.036 -11.425 -9.138 0.03331 2.88 5.28
1 3 4210.000 -16.644 0.127 -12.575 -9.123 0.03326 3.14 3.63
1 1 4220.000 -0.000 0.039 -12.002 -8.888 0.03331 2.37 4.65
1 2 4220.000 16.616 0.036 -11.425 -8.899 0.03331 2.89 5.24
1 3 4220.000 -16.644 0.127 -12.574 -8.884 0.03326 3.19 3.62
1 1 4230.000 -0.000 0.039 -12.001 -8.649 0.03331 2.39 4.62
1 2 4230.000 16.616 0.036 -11.425 -8.659 0.03331 2.90 5.21
1 3 4230.000 -16.644 0.127 -12.574 -8.645 0.03327 3.23 3.61
1 1 4240.000 -0.000 0.039 -12.001 -8.409 0.03332 2.42 4.59
1 2 4240.000 16.616 0.036 -11.425 -8.420 0.03331 2.91 5.17
1 3 4240.000 -16.644 0.127 -12.574 -8.405 0.03327 3.28 3.60
1 1 4250.000 -0.000 0.039 -12.001 -8.170 0.03332 2.45 4.56
1 2 4250.000 16.616 0.036 -11.425 -8.180 0.03332 2.92 5.14
1 3 4250.000 -16.644 0.127 -12.574 -8.166 0.03327 3.33 3.59
1 1 4260.000 -0.000 0.039 -12.001 -7.930 0.03332 2.49 4.54
1 2 4260.000 16.616 0.036 -11.425 -7.941 0.03332 2.93 5.11
1 3 4260.000 -16.644 0.127 -12.574 -7.926 0.03327 3.38 3.58
1 1 4270.000 -0.000 0.039 -12.001 -7.691 0.03332 2.52 4.51
1 2 4270.000 16.616 0.036 -11.424 -7.701 0.03332 2.95 5.07
1 3 4270.000 -16.644 0.127 -12.574 -7.686 0.03328 3.43 3.57
1 1 4280.000 -0.000 0.039 -12.001 -7.451 0.03333 2.56 4.48
1 2 4280.000 16.616 0.036 -11.424 -7.461 0.03332 2.97 5.04
1 3 4280.000 -16.644 0.127 -12.574 -7.447 0.03328 3.48 3.56
1 1 4290.000 -0.000 0.039 -12.001 -7.211 0.03333 2.60 4.45
1 2 4290.000 16.616 0.036 -11.424 -7.221 0.03333 2.99 5.01
1 3 4290.000 -16.644 0.127 -12.574 -7.207 0.03328 3.53 3.55
1 1 4300.000 -0.000 0.039 -12.001 -6.971 0.03333 2.64 4.42
1 2 4300.000 16.616 0.036 -11.424 -6.981 0.03333 3.01 4.97
1 3 4300.000 -16.644 0.127 -12.574 -6.967 0.03329 3.58 3.54
1 1 4310.000 -0.000 0.039 -12.001 -6.731 0.03333 2.68 4.39
1 2 4310.000 16.616 0.036 -11.424 -6.741 0.03333 3.04 4.94
1 3 4310.000 -16.644 0.127 -12.573 -6.727 0.03329 3.63 3.53
1 1 4320.000 -0.000 0.039 -12.000 -6.491 0.03334 2.72 4.36
1 2 4320.000 16.616 0.036 -11.424 -6.501 0.03333 3.06 4.91
1 3 4320.000 -16.644 0.127 -12.573 -6.487 0.03329 3.68 3.52
1 1 4330.000 -0.000 0.039 -12.000 -6.251 0.03334 2.76 4.33
1 2 4330.000 16.616 0.036 -11.424 -6.261 0.03334 3.09 4.88
1 3 4330.000 -16.644 0.127 -12.573 -6.247 0.03329 3.74 3.51
1 1 4340.000 -0.000 0.039 -12.000 -6.011 0.03334 2.81 4.30
1 2 4340.000 16.616 0.036 -11.424 -6.021 0.03334 3.12 4.84
1 3 4340.000 -16.644 0.127 -12.573 -6.006 0.03330 3.79 3.50
1 1 4350.000 -0.000 0.039 -12.000 -5.770 0.03335 2.85 4.27
1 2 4350.000 16.616 0.036 -11.424 -5.781 0.03334 3.15 4.81
1 3 4350.000 -16.644 0.127 -12.573 -5.766 0.03330 3.84 3.49
1 1 4360.000 -0.000 0.039 -12.000 -5.530 0.03335 2.90 4.25
1 2 4360.000 16.616 0.036 -11.423 -5.540 0.03335 3.18 4.78
1 3 4360.000 -16.644 0.127 -12.573 -5.526 0.03330 3.90 3.47
1 1 4370.000 -0.000 0.039 -12.000 -5.290 0.03335 2.94 4.22
1 2 4370.000 16.616 0.036 -11.423 -5.300 0.03335 3.22 4.75
1 3 4370.000 -16.644 0.127 -12.573 -5.285 0.03331 3.95 3.46
1 1 4380.000 -0.000 0.039 -12.000 -5.049 0.03335 2.99 4.19
