lambda,element,ion,note,intens_4MOST,intens_NIST,ritz_lambda,vacuum_sigma,ritz_sigma,obs-ritz
4436.0867,Cs,2.0,NIST,,970,4436.087,0.0011,0.0003,-0.0003
4441.383,Cs,2.0,NIST,,30,4441.3753,0.004,0.0003,0.008
4444.0044,Cs,2.0,NIST,,8500,4444.0044,0.0004,0.0003,0.0
4446.84,Cs,2.0,NIST,,160,4446.8408,0.002,0.0018,-0.001
4447.836,Cs,2.0,NIST,,11,4447.8344,0.003,0.0005,0.002
4450.7946,Cs,2.0,NIST,,1500,4450.7948,0.0013,0.0003,-0.0002
4453.3855,Cs,2.0,NIST,,560,4453.3812,0.0017,0.0012,0.0043
4455.351,Cs,2.0,NIST,,82,4455.3498,0.003,0.0014,0.001
4457.6898,Cs,2.0,NIST,,64000,4457.6899,0.0003,0.0004,-0.0001
4458.4724,Cs,2.0,NIST,,21,4458.4735,0.0013,0.0004,-0.0011
4459.157,Cs,2.0,NIST,,490,4459.156,0.004,0.0003,0.001
4473.3379,Cs,2.0,NIST,,180,4473.336,0.0017,0.0012,0.0019
4476.9528,Cs,2.0,NIST,,710,4476.9536,0.0015,0.0016,-0.0008
4478.997,Cs,2.0,NIST,,80,4478.9982,0.004,0.0018,-0.001
4488.0195,Cs,2.0,NIST,,270,4488.021,0.002,0.0005,-0.0015
4489.1236,Cs,2.0,NIST,,1200,4489.1262,0.0016,0.0014,-0.0026
4496.7498,Cs,2.0,NIST,,15000,4496.7496,0.0004,0.0003,0.0002
4501.5515,Cs,2.0,NIST,,1200000,4501.5517,0.0003,0.0003,-0.0002
4506.8537,Cs,2.0,NIST,,16000,4506.85341,0.0003,0.00024,0.0003
4508.418,Cs,2.0,NIST,,140,4508.4179,0.002,0.0005,0.0001
4510.708984375,Cs,,4MOST,11.237680435180664,,,,,
4515.492,Cs,2.0,NIST,,330,4515.4915,0.004,0.0014,0.001
4523.0054,Cs,2.0,NIST,,380,4523.0034,0.0014,0.0012,0.002
4526.7416,Cs,2.0,NIST,,2000000,4526.7416,0.0003,0.0003,0.0
4529.7404,Cs,2.0,NIST,,260,4529.74026,0.0011,0.00025,0.0001
4538.9656,Cs,2.0,NIST,,410000,4538.96566,0.0003,0.00025,-0.0001
4555.2799,Cs,1.0,4MOST & NIST,4961.267578125,,4555.28,0.0005,0.005,0.0
4575.264,Cs,2.0,NIST,,8,4575.2663,0.006,0.0019,-0.002
4577.41,Cs,2.0,NIST,,12,4577.403,0.004,0.003,0.007
4584.1838,Cs,2.0,NIST,,360,4584.1839,0.0014,0.0004,-0.0001
4585.964,Cs,2.0,NIST,,88,4585.9645,0.002,0.0013,-0.0005
4591.265,Cs,2.0,NIST,,36,4591.2609,0.005,0.0005,0.004
4593.1721,Cs,1.0,4MOST & NIST,2999.885009765625,,4593.172,0.0005,0.004,0.0
4593.6,Cs,2.0,NIST,,3700,4593.5953,0.003,0.0009,0.005
4593.65,Cs,2.0,NIST,,320bl,4593.65,0.21,0.0015,0.0
4603.7903,Cs,2.0,NIST,,10000000,4603.7908,0.0007,0.0004,-0.0005
4610.5134,Cs,2.0,NIST,,8700,4610.5133,0.0003,0.0003,0.0001
4616.1691,Cs,2.0,NIST,,420000,4616.1693,0.0004,0.0003,-0.0002
4623.0943,Cs,2.0,NIST,,35000,4623.0942,0.0003,0.0003,0.0001
4625.403,Cs,2.0,NIST,,70,4625.4331,0.004,0.0009,-0.03
4625.502,Cs,2.0,NIST,,67,4625.4885,0.005,0.0015,0.014
4629.66,Cs,2.0,NIST,,30,4629.6638,0.012,0.0005,-0.004
4646.5183,Cs,2.0,NIST,,280000,4646.5183,0.0004,0.0003,0.0
4656.5444,Cs,2.0,NIST,,26000,4656.5446,0.0005,0.0003,-0.0002
4657.047,Cs,2.0,NIST,,1200,4657.0452,0.003,0.0004,0.002
4660.322,Cs,2.0,NIST,,21,4660.3313,0.004,0.0005,-0.009
4665.8968,Cs,2.0,NIST,,980,4665.8962,0.0014,0.0003,0.0006
4666.8456,Cs,2.0,NIST,,5700,4666.8439,0.0005,0.0004,0.0017
4669.822,Cs,2.0,NIST,,57,4669.8212,0.003,0.0022,0.001
4670.286,Cs,2.0,NIST,,99000,4670.2859,0.0004,0.0003,0.0001
4685.9498,Cs,2.0,NIST,,82,4685.9481,0.0012,0.0009,0.0017
4692.474,Cs,2.0,NIST,,230,4692.4738,0.003,0.0003,0.0
4695.6078,Cs,2.0,NIST,,5500,4695.6076,0.0004,0.0003,0.0002
4699.08,Cs,2.0,NIST,,82,4699.0824,0.002,0.0004,-0.0024
4699.964,Cs,2.0,NIST,,210,4699.96344,0.004,0.00025,0.001
4701.768,Cs,2.0,NIST,,920,4701.7686,0.003,0.0003,-0.001
4702.395,Cs,2.0,NIST,,50,4702.3928,0.003,0.0005,0.002
4702.9283,Cs,2.0,NIST,,130i,4702.9278,0.0015,0.0003,0.0005
