element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),obs-ritz,intens,Aki(s^-1),Acc,Type,
Xe,2,4025.19,,4025.170+,0.02,30,,,,
Xe,2,4026.20,,4026.153+,0.05,5Hl,,,,
Xe,2,4026.82,,4026.894+,-0.07,0,,,,
Xe,2,4027.97,,4027.885+,0.08,3h,,,,
Xe,2,4029.82,,4029.843+,-0.02,1-,,,,
Xe,2,4035.87,,4035.897+,-0.03,1,,,,
Xe,2,4037.29,,4037.315+,-0.03,100,,,,
Xe,2,4037.59,,4037.543+,0.05,200,,,,
Xe,2,4039.69,,4039.690+, 0.00,1-,,,,
Xe,2,4044.64,,4044.674+,-0.03,6H,,,,
Xe,2,4044.90,,4044.905+, 0.00,8H,,,,
Xe,2,4051.27,,4051.258+,0.01,10h,,,,
Xe,2,4057.46,,4057.473+,-0.01,200H,,,,
Xe,2,4062.12,,4062.119+,0.00,6,,,,
Xe,2,4066.53,,4066.581+,-0.05,,,,,
Xe,2,4072.10,,4072.132+,-0.03,6h,,,,
Xe,2,4073.50,,4073.489+,0.01,15,,,,
Xe,1,4078.8202,0.0005,4078.8193+,0.0009,100,,,,
Xe,2,4091.88,,4091.922+,-0.04,3h,,,,
Xe,2,4098.89,,4098.935+,-0.04,100h,,,,
Xe,2,4100.34,,4100.332+,0.01,20,,,,
Xe,2,4100.97,,4100.952+,0.02,1h,,,,
Xe,2,4103.10,,4103.078+,0.02,8hl,,,,
Xe,2,4104.95,,4104.940+,0.01,40,,,,
Xe,1,4109.7089,0.0005,4109.7076+,0.0013,60,,,,
Xe,2,4110.41,,4110.408+,0.00,30,,,,
Xe,2,4112.14,,4112.116+,0.02,30Hl,,,,
Xe,2,4112.42,,4112.410+,0.01,0,,,,
Xe,2,4113.26,,4113.212+,0.05,2,,,,
Xe,2,4113.52,,4113.514+,0.01,2,,,,
Xe,1,4116.1147,0.0005,4116.1135+,0.0012,80,,,,
Xe,2,4121.86,,4121.836+,0.02,5h,,,,
Xe,1,4123.55,0.2,4123.52+,0.03,10,,,,
Xe,2,4131.01,,4130.984+,0.03,20,,,,
Xe,2,4131.24,,4131.408+,-0.17,0,,,,
Xe,1,4135.133,0.002,4135.1320+,0.001,20,,,,
Xe,2,4138.81,,4138.826+,-0.02,3h,,,,
Xe,1,4146.78,0.01,4146.8101+,-0.030,2,,,,
Xe,2,4148.19,,4148.151+,0.04,2h*,,,,
Xe,2,4148.19,,4148.187+,0.00,2h*,,,,
Xe,2,4152.74,,4152.836+,-0.10,1,,,,
Xe,2,4154.65,,4154.635+,0.02,2,,,,
Xe,2,4156.17,,4156.160+,0.01,2h,,,,
Xe,2,4158.04,,4158.056+,-0.02,200H,,,,
Xe,2,4162.16,,4162.147+,0.01,60,,,,
Xe,2,4170.99,,4170.974+,0.02,8Hl,,,,
Xe,1,4175.17,0.2,4175.10+,0.07,6,,,,
Xe,2,4180.10,,4179.994+,0.11,1000*,,,,
Xe,2,4180.10,,4180.097+,0.00,1000*,,,,
Xe,2,4180.29,,4180.401+,-0.11,1,,,,
Xe,1,4193.01,0.01,4193.0087+,0.001,20,,,,
Xe,2,4193.15,,4193.147+,0.00,500h,,,,
Xe,1,4193.528,0.002,4193.5296+,-0.002,150,2.20e+05,B,,
Xe,2,4197.81,,4197.795+,0.01,10H,,,,
Xe,2,4201.25,,4201.249+,0.00,15H,,,,
Xe,2,4203.22,,4203.201+,0.02,5,,,,
Xe,1,4203.695,0.002,4203.695+, 0.000,,1.1e+05,D+,,
Xe,1,4205.404,0.002,4205.404+, 0.000,10,,,,
Xe,2,4208.48,,4208.46+,0.02,400h,,,,
Xe,2,4209.47,,4209.44+,0.03,200h,,,,
Xe,2,4213.72,,4213.72+, 0.00,400h,,,,
Xe,2,4214.69,,4214.70+,-0.01,6,,,,
Xe,2,4215.30,,4215.20+,0.10,0,,,,
Xe,2,4215.60,,4215.62+,-0.02,200,,,,
Xe,2,4223.00,,4222.99+,0.01,400h,,,,
Xe,1,4235.03,0.2,4235.12+,-0.09,15,,,,
Xe,2,4237.20,,4237.19+,0.01,,,,,
Xe,2,4237.96,,4238.12+,-0.16,3bl,,,,
Xe,2,4238.25,,4238.21+,0.04,500h,,,,
Xe,2,4243.88,,4243.88+, 0.00,10,,,,
Xe,2,4244.41,,4244.39+,0.02,30,,,,
Xe,2,4245.38,,4245.37+,0.01,500h,,,,
Xe,2,4250.16,,4250.19+,-0.03,,,,,
Xe,2,4251.57,,4251.57+, 0.00,100H,,,,
Xe,2,4263.57,,4263.62+,-0.05,10h^,,,,
Xe,2,4269.84,,4269.82+,0.02,40,,,,
Xe,1,4279.16,0.2,4279.13+,0.03,2*,,,,
Xe,1,4279.16,0.2,4279.13+,0.03,2*,,,,
Xe,2,4295.17,,4295.26+,-0.09,1a,,,,
Xe,2,4296.40,,4296.39+,0.01,500h,,,,
Xe,2,4296.75,,4296.70+,0.05,2,,,,
Xe,2,4306.21,,4306.21+,0.00,1h,,,,
Xe,2,4310.51,,4310.43+,0.08,500h,,,,
Xe,2,4321.82,,4321.81+,0.01,40,,,,
Xe,2,4330.52,,4330.52+,0.00,1000,1.4e+08,,,
Xe,2,4335.81,,4335.81+,0.00,10,,,,
Xe,2,4337.07,,4337.00+,0.07,30Hl,,,,
Xe,2,4342.56,,4342.62+,-0.06,6Hl,,,,
Xe,1,4354.59,0.2,4354.60+,-0.01,6,,,,
Xe,2,4357.28,,4357.10+,0.18,0,,,,
Xe,2,4367.05,,4367.03+,0.02,30H,,,,
Xe,2,4369.20,,4369.17+,0.03,200H,,,,
Xe,1,4372.287,0.002,4372.288+,-0.001,20,,,,
Xe,2,4372.46,,4372.42+,0.04,2h,,,,
Xe,2,4373.78,,4373.73+,0.05,100H,,,,
Xe,2,4379.44,,4379.39+,0.05,10Hl,,,,
Xe,1,4383.908,0.002,4383.909+,-0.001,100,,,,
Xe,2,4384.93,,4384.91+,0.02,60,,,,
Xe,1,4385.768,0.002,4385.768+,0.000,70,,,,
Xe,2,4392.09,,4392.20+,-0.11,0,,,,
Xe,2,4393.20,,4393.20+,0.00,500H,,,,
Xe,2,4395.77,,4395.77+,0.00,500H,,,,
Xe,2,4404.54,,4404.55+,-0.01,1,,,,
Xe,2,4406.88,,4406.82+,0.06,200H,,,,
Xe,2,4414.84,,4414.75+,0.09,300*,,,,
Xe,2,4414.84,,4414.82+,0.02,300*,1.0e+08,,,
Xe,2,4416.07,,4416.03+,0.04,150H,,,,
Xe,2,4427.52,,4427.57+,-0.05,2h,,,,
Xe,2,4440.95,,4440.96+,-0.01,50H,,,,
Xe,2,4448.13,,4448.13+,0.00,500H,,,,
Xe,2,4451.32,,4451.30+,0.02,1H,,,,
Xe,2,4462.19,,4462.19+,0.00,1000,,,,
Xe,2,4464.60,,4464.63+,-0.03,1^,,,,
Xe,2,4465.77,,4465.64+,0.13,,,,,
Xe,2,4470.90,,4470.89+,0.01,30,,,,
Xe,2,4480.86,,4480.80+,0.06,500H,,,,
Xe,2,4485.95,,4485.94+,0.01,20,,,,
Xe,2,4488.60,,4488.50+,0.10,4H,,,,
Xe,2,4488.97,,4489.02+,-0.05,0,,,,
Xe,1,4500.978,0.002,4500.979+,-0.001,,1.46e+06,C+,,
Xe,2,4507.11,,4507.12+,-0.01,5h,,,,
