element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Cs,2,4501.5515,0.0003,4501.5517,0.0003,-0.0002,1200000,,,,
Cs,2,4506.8537,0.0003,4506.85341,0.00024,0.0003,16000,,,,
Cs,2,4508.418,0.002,4508.4179,0.0005,0.0001,140,,,,
Cs,2,4515.492,0.004,4515.4915,0.0014,0.001,330,,,,
Cs,2,4523.0054,0.0014,4523.0034,0.0012,0.0020,380,,,,
Cs,2,4526.7416,0.0003,4526.7416,0.0003, 0.0000,2000000,,,,
Cs,2,4529.7404,0.0011,4529.74026,0.00025,0.0001,260,,,,
Cs,2,4538.9656,0.0003,4538.96566,0.00025,-0.0001,410000,,,,
Cs,1,4555.2799,0.0005,4555.280,0.005,0.000,,1.836e+06,AA,,
Cs,2,4575.264,0.006,4575.2663,0.0019,-0.002,8,,,,
Cs,2,4577.410,0.004,4577.403,0.003,0.007,12,,,,
Cs,2,4584.1838,0.0014,4584.1839,0.0004,-0.0001,360,,,,
Cs,2,4585.964,0.002,4585.9645,0.0013,-0.0005,88,,,,
Cs,2,4591.265,0.005,4591.2609,0.0005,0.004,36,,,,
Cs,1,4593.1721,0.0005,4593.172,0.004, 0.000,,7.94e+05,A+,,
Cs,2,4593.600,0.003,4593.5953,0.0009,0.005,3700,,,,
Cs,2,4593.65,0.21,4593.6500,0.0015, 0.00,320bl,,,,
Cs,2,4603.7903,0.0007,4603.7908,0.0004,-0.0005,10000000,,,,
Cs,2,4610.5134,0.0003,4610.5133,0.0003,0.0001,8700,,,,
Cs,2,4616.1691,0.0004,4616.1693,0.0003,-0.0002,420000,,,,
Cs,2,4623.0943,0.0003,4623.0942,0.0003,0.0001,35000,,,,
Cs,2,4625.403,0.004,4625.4331,0.0009,-0.030,70,,,,
Cs,2,4625.502,0.005,4625.4885,0.0015,0.014,67,,,,
Cs,2,4629.660,0.012,4629.6638,0.0005,-0.004,30,,,,
Cs,2,4646.5183,0.0004,4646.5183,0.0003,0.0000,280000,,,,
Cs,2,4656.5444,0.0005,4656.5446,0.0003,-0.0002,26000,,,,
Cs,2,4657.047,0.003,4657.0452,0.0004,0.002,1200,,,,
Cs,2,4660.322,0.004,4660.3313,0.0005,-0.009,21,,,,
Cs,2,4665.8968,0.0014,4665.8962,0.0003,0.0006,980,,,,
Cs,2,4666.8456,0.0005,4666.8439,0.0004,0.0017,5700,,,,
Cs,2,4669.822,0.003,4669.8212,0.0022,0.001,57,,,,
Cs,2,4670.2860,0.0004,4670.2859,0.0003,0.0001,99000,,,,
Cs,2,4685.9498,0.0012,4685.9481,0.0009,0.0017,82,,,,
Cs,2,4692.474,0.003,4692.4738,0.0003,0.000,230,,,,
Cs,2,4695.6078,0.0004,4695.6076,0.0003,0.0002,5500,,,,
Cs,2,4699.080,0.002,4699.0824,0.0004,-0.0024,82,,,,
Cs,2,4699.964,0.004,4699.96344,0.00025,0.001,210,,,,
Cs,2,4701.768,0.003,4701.7686,0.0003,-0.001,920,,,,
Cs,2,4702.395,0.003,4702.3928,0.0005,0.002,50,,,,
Cs,2,4702.9283,0.0015,4702.9278,0.0003,0.0005,130i,,,,
Cs,2,4703.06,0.22,4703.0511,0.0003,0.01,120bl,,,,
Cs,2,4704.7428,0.0016,4704.7444,0.0004,-0.0016,49,,,,
Cs,2,4713.110,0.002,4713.1062,0.0004,0.0038,340,,,,
Cs,2,4723.0629,0.0006,4723.0613,0.0004,0.0016,4100,,,,
Cs,2,4729.6924,0.0017,4729.6909,0.0004,0.0015,84,,,,
Cs,2,4730.98,0.22,4730.9850,0.0003, 0.00,84bl,,,,
Cs,2,4732.9856,0.0003,4732.9855,0.0003,0.0001,150000,,,,
Cs,2,4734.479,0.005,4734.4800,0.0003,-0.001,160,,,,
Cs,2,4739.653,0.004,4739.6533,0.0003, 0.000,2100,,,,
Cs,2,4741.233,0.002,4741.233,0.003, 0.000,49,,,,
Cs,2,4745.4829,0.0014,4745.4830,0.0003,-0.0001,370,,,,
Cs,2,4749.137,0.003,4749.1362,0.0003,0.001,370,,,,
Cs,2,4757.631,0.003,4757.6287,0.0005,0.002,2400,,,,
Cs,2,4763.6360,0.0005,4763.6362,0.0003,-0.0002,700000,,,,
Cs,2,4764.06,0.23,4764.0660,0.0004,-0.01,170bl,,,,
Cs,2,4767.6496,0.0020,4767.6563,0.0009,-0.0067,250,,,,
Cs,2,4775.9892,0.0011,4775.9887,0.0006,0.0005,320,,,,
Cs,2,4776.448,0.002,4776.4611,0.0016,-0.013,140,,,,
Cs,2,4786.3781,0.0004,4786.3782,0.0003,-0.0001,190000,,,,
Cs,2,4791.652,0.004,4791.6552,0.0003,-0.003,69,,,,
Cs,2,4793.508,0.005,4793.5068,0.0004,0.001,65,,,,
Cs,2,4793.870,0.005,4793.871,0.003,-0.001,43,,,,
Cs,2,4794.770,0.003,4794.7648,0.0003,0.005,25,,,,
Cs,2,4800.8508,0.0011,4800.8526,0.0004,-0.0018,89,,,,
Cs,2,4804.5369,0.0010,4804.5374,0.0003,-0.0005,1400,,,,
Cs,2,4813.1064,0.0013,4813.1076,0.0004,-0.0012,330,,,,
Cs,2,4813.739,0.002,4813.7366,0.0004,0.0024,49,,,,
Cs,2,4815.155,0.003,4815.1569,0.0003,-0.002,84,,,,
Cs,2,4820.6228,0.0015,4820.6239,0.0004,-0.0011,39,,,,
Cs,2,4828.1861,0.0012,4828.1863,0.0004,-0.0002,1000,,,,
Cs,2,4830.1865,0.0005,4830.1864,0.0004,0.0001,2500000,,,,
Cs,2,4848.712,0.003,4848.7105,0.0004,0.001,52,,,,
Cs,2,4870.0396,0.0005,4870.0392,0.0003,0.0004,1900000,,,,
Cs,2,4876.787,0.002,4876.7846,0.0014,0.0024,88,,,,
Cs,2,4880.0507,0.0012,4880.0516,0.0003,-0.0009,490000,,,,
Cs,2,4882.863,0.003,4882.8670,0.0006,-0.004,75,,,,
Cs,2,4884.9449,0.0017,4884.9443,0.0004,0.0006,330,,,,
Cs,2,4887.8148,0.0017,4887.8164,0.0003,-0.0016,240,,,,
