element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,obs-ritz,intens,Aki(s^-1),Acc,Type,
Ar,2,3521.9773,0.0001,3521.97725,0.00008,0.00005,71,,,,
Ar,2,3523.49,0.04,3523.49281,0.00005, 0.00,0.5hl,,,,
Ar,2,3531.178,0.006,3531.18196,0.00009,-0.004,2,,,,
Ar,2,3532.233,0.006,3532.23961,0.00005,-0.007,1,,,,
Ar,2,3535.3194,0.0001,3535.31929,0.00005,0.00011,170,5.7e+07,B,,
Ar,2,3543.1467,0.0003,3543.14688,0.00004,-0.0002,26,,,,
Ar,2,3543.31,0.02,3543.31751,0.00010,-0.008,1?,,,,
Ar,2,3545.5952,0.0001,3545.59516,0.00004,0.00004,891,3.4e+08,D,,
Ar,2,3545.8431,0.0001,3545.84315,0.00005,-0.00005,794,3.9e+08,D,,
Ar,2,3548.5141,0.0001,3548.51395,0.00005,0.00015,195,8.7e+07,B,,
Ar,2,3550.0297,0.0006,3550.02886,0.00005,0.0008,10,2.6e+06,C,,
Ar,1,3554.306,,3554.3055,,0.001,7,2.7e+05,D,,
Ar,2,3556.9038,0.0002,3556.90383,0.00007,-0.00003,49,5.0e+06,B,,
Ar,2,3559.5079,0.0001,3559.50780,0.00004,0.00010,1445,2.88e+08,B,,
Ar,2,3561.0303,0.0002,3561.03016,0.00005,0.00014,1023bl,4.e+08,D,,
Ar,2,3562.1914,0.0002,3562.19111,0.00005,0.00029,35,1.5e+07,D,,
Ar,1,,,3563.2859,,,,1.2e+05,D,,
Ar,2,3564.3333,0.0005,3564.33292,0.00003,0.0004,19,,,,
Ar,2,3565.0296,0.0001,3565.02938,0.00007,0.00022,162,5.5e+07,C,,
Ar,1,,,3567.6560,,,,1.1e+05,D,,
Ar,2,3569.01,0.04,3569.04725,0.00019,-0.04,1wl,,,,
Ar,2,3569.940,0.006,3569.93722,0.00006,0.003,3*,,,,
Ar,2,3569.940,0.006,3569.95863,0.00007,-0.019,3*,,,,
Ar,2,3570.746,0.006,3570.74366,0.00006,0.002,1,,,,
Ar,1,,,3572.2953,,,,5.1e+05,D,,
Ar,2,3575.7533,0.0018,3575.75359,0.00006,-0.0003,5bl,,,,
Ar,2,3576.6153,0.0001,3576.61538,0.00006,-0.00008,12303,2.75e+08,B,,
Ar,2,3578.3556,0.0009,3578.35563,0.00006, 0.0000,8,,,,
Ar,2,3581.6077,0.0001,3581.60797,0.00006,-0.00027,68,1.76e+08,B,,
Ar,2,3582.3544,0.0001,3582.35434,0.00006,0.00006,155,2.53e+08,B,,
Ar,2,3588.4403,0.0001,3588.44021,0.00008,0.00009,12303,3.03e+08,B,,
Ar,2,3593.717,0.008,3593.71669,0.00004,0.000,2,,,,
Ar,2,3594.37,0.02,3594.37559,0.00006,-0.006,0.5,,,,
Ar,2,3600.2217,0.0007,3600.22175,0.00006, 0.0000,10,,,,
Ar,2,3601.5089,0.0004,3601.50884,0.00006,0.0001,15,2.e+05,C,,
Ar,2,3603.456,0.003,3603.45573,0.00008,0.000,3,6.5e+06,D,,
Ar,2,3603.905,0.004,3603.90419,0.00003,0.001,3,,,,
Ar,2,3605.8788,0.0003,3605.87889,0.00006,-0.0001,24,4.4e+06,B,,
Ar,1,3606.522,,3606.5217,,0.000,7,7.6e+05,D,,
Ar,2,3607.401,0.006,3607.40366,0.00006,-0.003,2,,,,
Ar,2,3611.365,0.006,3611.36648,0.00009,-0.001,1,,,,
Ar,2,3611.8130,0.0004,3611.81306,0.00006,-0.0001,14,6.e+05,C,,
Ar,2,3620.807,0.006,3620.80929,0.00004,-0.002,3,,,,
Ar,2,3621.012,0.006,3621.01412,0.00006,-0.002,3,,,,
Ar,2,3622.1376,0.0004,3622.13719,0.00004,0.0004,30,6.4e+07,D,,
Ar,2,3623.444,0.006,3623.44968,0.00008,-0.006,2,,,,
Ar,1,,,3632.6829,,,,6.6e+04,D,,
Ar,1,,,3634.4600,,,,1.3e+05,D,,
Ar,2,3634.8119,0.0008,3634.81220,0.00006,-0.0003,9,9.e+05,C,,
Ar,2,3635.10,0.02,3635.09952,0.00008,0.000,0h,,,,
Ar,2,3635.636,0.006,3635.63755,0.00006,-0.002,3,,,,
Ar,2,3637.0303,0.0004,3637.03094,0.00006,-0.0006,19,,,,
Ar,2,3639.8324,0.0002,3639.83244,0.00006,-0.00004,42,1.4e+08,D,,
Ar,1,,,3643.1163,,,,2.4e+04,D,,
Ar,1,,,3649.8317,,,,8.0e+05,D,,
Ar,2,3650.8891,0.0012,3650.88923,0.00005,-0.0001,8,1.2e+07,D,,
Ar,2,3651.184,0.006,3651.19395,0.00017,-0.010,0.5,,,,
Ar,2,3655.2775,0.0002,3655.27776,0.00005,-0.00026,37,2.3e+07,D,,
Ar,2,3656.0495,0.0002,3656.04940,0.00005,0.00010,27,7.6e+06,B,,
Ar,2,3657.216,0.003,3657.21694,0.00007,-0.001,3,,,,
Ar,1,,,3659.5291,,,,4.4e+04,D,,
Ar,2,3660.4362,0.0003,3660.43646,0.00006,-0.0003,28,2.2e+08,D,,
Ar,2,3661.13,0.02,3661.132,0.012,-0.002,0.5h,,,,
Ar,2,3669.6020,0.0003,3669.60196,0.00006,0.0000,26,1.3e+07,D,,
Ar,1,,,3670.6701,,,,3.1e+04,D,,
Ar,2,3671.0045,0.0003,3671.00424,0.00008,0.0003,19,7.1e+07,D,,
Ar,2,3673.2640,0.0003,3673.26401,0.00006, 0.0000,22,,,,
Ar,2,3673.842,0.006,3673.84290,0.00006,-0.001,0,,,,
Ar,1,,,3675.2352,,,,4.9e+04,D,,
Ar,2,3678.2690,0.0007,3678.26948,0.00005,-0.0005,17,2.5e+07,D,,
Ar,2,3680.0607,0.0004,3680.06050,0.00007,0.0002,20,1.2e+08,D,,
Ar,2,3682.5439,0.0008,3682.54450,0.00007,-0.0006,9,1.7e+06,B,,
Ar,2,3692.126,0.006,3692.12380,0.00006,0.002,1,,,,
Ar,2,3692.299,0.012,3692.28325,0.00006,0.016,1hl?,,,,
Ar,2,3694.643,0.006,3694.64208,0.00006,0.001,2,,,,
